Time,Distance,TargetVelocity,ActualVelocity,StateOfCharge,BatteryPower,BatteryCurrent,MotorTorque,MotorSpeed,MilesPerGallon
0,0,0,0,100,0,0,0,0,0
1,7.00052393426105e-07,0,-0.00202233408362676,100,-0.000589163426378381,-1.23811716092438e-05,0.0162450008879702,-0.196893674065475,0.000700052393426105
2,1.22847031549558e-06,0,0.00220521431712109,100,0.000670020511757762,1.40803699381032e-05,0.0264652080823725,0.214698823757693,0.00122847031549558
3,2.14373954762366e-06,0,0.00141792072625588,100,1.62539247439907e-05,3.41573531990535e-07,0.00142161717369633,0.138048220413433,0.00214373954762366
4,2.47884125828584e-06,0,0.00149153796078019,100,0.000153324872578343,3.22209676331277e-06,0.0147444166752598,0.145215566252771,0.00247884125828584
5,3.02116717649709e-06,0,0.00243038185351143,100,1.4777727773231e-07,3.1055149751671e-09,1.19001524673805e-05,0.236621049110618,0.00302116717649709
6,3.37502990428697e-06,0,-0.000481502818047671,100,-4.89174283416233e-06,-1.02799164113895e-07,0.00124096723048898,-0.0468789304822807,0.00337502990428697
7,3.6532056844574e-06,0,0.000929044933729131,100,1.80225691513128e-06,3.7874130075931e-08,0.000357956564286883,0.0904514599515619,0.00365320568445739
8,3.96198880969258e-06,0,0.000805481009772049,100,6.39418779383373e-06,1.34372795691749e-07,0.000555413554459346,0.0784213235033711,0.00396198880969258
9,4.12714577162478e-06,0,0.0011181042427259,100,2.09482386002293e-05,4.40223758909517e-07,0.00191632235386728,0.108858202074949,0.00412714577162478
10,4.33841488589082e-06,0,0.00093142043409202,100,2.61903916714018e-09,5.50386735965316e-11,5.50264935247602e-07,0.0906827377597043,0.00433841488589082
11,4.47243850442322e-06,0,0.000472261819060692,100,2.03463717614439e-06,4.27575627092965e-08,0.000709147740438994,0.0459792303499868,0.00447243850442322
12,4.59699912307701e-06,0,0.000294071130095048,100,7.06817882328966e-08,1.4853660535439e-09,4.33678881469228e-05,0.0286306529221739,0.00459699912307701
13,4.69358352317906e-06,0,0.000132913735907846,100,4.51591389217373e-07,9.49011812500537e-09,0.000110502078639945,0.012940430569084,0.00469358352317906
14,4.76990951261975e-06,0,0.000193232284790058,100,9.33038196372506e-07,1.96076429049809e-08,0.000284500175873117,0.0188130214529888,0.00476990951261975
15,4.84540712460072e-06,0,0.000266568465979724,100,1.00897801080801e-07,2.12035055067977e-09,3.92614287812685e-05,0.0259530040469971,0.00484540712460072
