Time,Distance,TargetVelocity,ActualVelocity,StateOfCharge,BatteryPower,BatteryCurrent,MotorTorque,MotorSpeed,MilesPerGallon
0,0,0,0,100,0,0,0,0,0
1,1.53653942531142e-07,0,-0.000179411662932578,99.9999999999224,-1.10810594976437e-05,-1.53137914555612e-07,0.00532474102597884,-0.0174674509869515,0.000153653942531142
2,3.04685511037251e-07,0,0.000306569609828212,99.9999999998636,1.9042222589513e-06,2.6315951616373e-08,0.000397054251576165,0.0298475001359054,0.000304685511037251
3,4.44564752156861e-07,0,0.000543911956729287,99.9999999998475,4.51917392617311e-07,6.24540343585202e-09,0.000156888555205873,0.0529550603906728,0.000444564752156861
4,5.69688090780046e-07,0,0.000638338208118116,99.9999999998456,2.90436528581414e-08,4.01377181566253e-10,8.31255599115886e-06,0.0621483641651089,0.000569688090780046
5,6.9151498531092e-07,0,0.000302974825895853,99.9999999998456,6.17474607322793e-11,8.53336936598352e-13,3.96290860567337e-08,0.0294975133450759,0.00069151498531092
6,8.01341830075714e-07,0,0.000371143657901659,99.9999999998456,3.54771028318912e-15,4.90286108787704e-17,1.87133773100933e-12,0.036134404795921,0.000801341830075714
7,8.98983735767645e-07,0,0.000330721802328448,99.9999999998456,1.43523861357164e-19,1.98346961521712e-21,8.49589801403943e-17,0.0321989483741609,0.000898983735767645
8,9.87140028609778e-07,0,0.000308280729209682,99.9999999998456,6.07383294095691e-24,8.39390953697442e-26,3.85713173181663e-21,0.0300140940654198,0.000987140028609778
9,1.06610337052238e-06,0,0.00029232343647625,99.9999999998456,2.61478076460304e-28,3.6135720903843e-30,1.75113509709272e-25,0.0284604981388807,0.00106610337052238
10,1.13807049919657e-06,0,0.000227689620312361,99.9999999998456,9.24634427614931e-33,1.27782535601796e-34,7.9501410412635e-30,0.0221677744804047,0.00113807049919657
11,1.20297805770944e-06,0,0.000222125257170454,99.9999999998456,4.09524559201571e-37,5.65954338310421e-39,3.60935844875066e-34,0.0216260302099032,0.00120297805770944
12,1.26142829948448e-06,0,0.000197348305742008,99.9999999998456,1.6518499371448e-41,2.28282191424018e-43,1.63864620060247e-38,0.0192137556809886,0.00126142829948448
13,1.31424542271588e-06,0,0.000181646186514458,99.9999999998456,6.9026945279509e-46,9.53937883906631e-48,7.43944224132826e-43,0.0176850033495331,0.00131424542271588
14,1.36174346204181e-06,0,0.000166744392994254,99.9999999998456,2.87672792989899e-50,3.97557757033988e-52,3.37750155227976e-47,0.0162341704233054,0.00136174346204181
15,1.4046640175478e-06,0,0.000146332878117852,99.9999999998456,1.14615841230956e-54,1.58396684951512e-56,1.53338333245374e-51,0.0142469131299657,0.0014046640175478
16,1.44346750958223e-06,0,0.000131996024285577,99.9999999998456,4.69373712641412e-59,6.48664611168104e-61,6.9615495592268e-56,0.012851082516008,0.00144346750958223
17,1.47848340134171e-06,0,0.00011783494834588,99.9999999998456,1.90233592492539e-63,2.62898828762396e-65,3.16053861029044e-60,0.0114723655705432,0.00147848340134171
18,1.51006842208527e-06,0,0.000107620400746405,99.9999999998456,7.88792694301864e-68,1.09009493408178e-69,1.43488230918804e-64,0.0104778811171286,0.00151006842208527
19,1.53852429809374e-06,0,9.82567806931629e-05,99.9999999998456,3.2695349665487e-72,4.51842864365327e-74,6.5143556054572e-69,0.00956624264465148,0.00153852429809374
20,1.56418906430661e-06,0,8.84414526450856e-05,99.9999999998456,1.33608627845328e-76,1.84644317088557e-78,2.95751286935619e-73,0.00861062605430155,0.00156418906430661
21,0.000159544991631252,3.0000049728,1.76755290737389,99.9991519231347,629.170621111557,8.71658022200704,33.6611306065386,172.088276044794,0.159544991631252
22,0.00116774839845773,5.90000977984,5.55538617467835,99.9909287299504,2314.13758308953,32.2831013790735,41.0550291608451,540.870276400306,1.16774839845773
23,0.00320428855347371,8.60001425536,8.94946959196838,99.9759624775003,2885.39979748717,40.3497013099246,32.0280927729067,871.316941728957,3.20428855347371
24,0.00607974147357865,11.5000190624,11.733936436866,99.9580883129708,3640.90214274979,51.0733713476425,30.375150054094,1142.41157037814,6.07974147357865
25,0.00972417516342684,14.30002370368,14.5006959681108,99.9352059694173,4518.71004326942,63.6209024613778,30.5475606413121,1411.7822217324,9.72417516342684
26,0.0141264368178448,16.90002801344,17.1542012279188,99.9082980551364,5014.13463948541,70.7425944505639,28.7211775099187,1670.12648047066,14.1264368178448
27,0.0191461044343756,17.30002867648,18.4808425599879,99.8927723402068,190.262365515061,2.63096622944333,1.77430136806489,1799.28777392509,19.1461044343756
28,0.0242542568606491,18.10003000256,18.3218477851422,99.8920237937612,606.092149293109,8.39398812402636,2.79763580658382,1783.80810336519,24.2542568606491
29,0.0294671221852041,20.70003431232,19.7470420627697,99.8720143552746,6829.03075830288,97.0845890577655,32.8670256899238,1922.56447396245,29.4671221852041
30,0.0353381585172806,21.70003596992,22.2245570316081,99.8378627121205,3957.50978245322,55.5835435436143,18.4234225899515,2163.77438518147,35.3381585172806
31,0.0416402848157225,22.40003713024,22.9379440112032,99.8248662513276,1270.86591886529,17.6473712627187,5.60807727938016,2233.22946907693,41.6402848157225
32,0.0480171233164758,22.500037296,22.8710264626842,99.8219040322979,7.64117202576298,0.105558473941117,0.0642218239310202,2226.71440210849,48.0171233164758
33,0.0543283198702269,22.10003663296,22.570184709997,99.8218993554427,0.000342345662263099,4.7291497314545e-06,2.96945930025076e-06,2197.42456395641,54.3283198702269
34,0.0605566089047111,21.5000356384,22.2745313183673,99.8218993552333,1.53388413082212e-08,2.11890159971221e-10,1.34812733490658e-10,2168.63986265548,60.5566089047111
35,0.0667035535747798,20.90003464384,21.9844751095185,99.8218993552333,0,0,4.34005934979478e-15,2140.40010093256,66.7035535747797
36,0.0727706843654072,20.40003381504,21.6998426189808,99.8218993552333,0,0,2.85898491284959e-22,2112.68839035314,72.7706843654072
37,0.0787350819106841,19.80003282048,21.2086478572032,99.8218993552333,0,0,1.69446425142246e-29,2064.86585593061,78.7350819106841
38,0.084239463713364,17.0000281792,18.372216331276,99.8218993552333,0,0,-3.46516324825525e-33,1788.71196578136,84.239463713364
39,0.0890584228606663,14.90002469824,16.3122928530607,99.8218993552333,0,0,7.93874194520122e-37,1588.15860261388,89.0584228606663
40,0.0934967195070938,14.90002469824,15.8417622302936,99.8218993552333,0,0,-5.11945492609681e-40,1542.34792087392,93.4967195070938
41,0.0978712629212512,15.20002519552,15.6557360489519,99.8218993552333,0,0,-1.63964309171698e-44,1524.2364829007,97.8712629212512
42,0.102196086452713,15.5000256928,15.5108050474574,99.8214979010685,344.821600324867,4.76984771380882,1.92180064749411,1510.12605594341,102.196086452713
43,0.106534278809366,16.0000265216,15.8268639198394,99.8167139249956,1317.01459713459,18.2903913676171,7.9921841657147,1540.89742705766,106.534278809366
44,0.111045191551684,17.10002834496,16.7971218897078,99.8052322148629,2800.70012815557,39.1334602867797,16.1328754076303,1635.36137246875,111.045191551684
45,0.115944192045858,19.10003166016,18.6777491303763,99.7826430595987,5284.21677685373,74.6100592117182,27.4522380554127,1818.45852242074,115.944192045858
46,0.121473453386649,21.10003497536,21.1184622933271,99.7504117910222,5837.04509211994,82.6118791719818,27.2771455612558,2056.08542387291,121.473453386649
47,0.127630407739848,22.70003762752,23.0650421787637,99.7210797957092,4491.95402909569,63.2050282227995,19.3664794400229,2245.60369813264,127.630407739848
48,0.134177571194247,22.90003795904,23.7305468223132,99.7083255870468,110.432764325156,1.52585764701229,0.836778931231463,2310.39697607666,134.177571194247
49,0.140727014557471,22.70003762752,23.4201661602541,99.7082579418543,0.0049489726510199,6.8346525027424e-05,4.13686671615357e-05,2280.17843335097,140.727014557471
50,0.147189108600115,22.60003746176,23.1080368498037,99.7082579388243,2.21687779244917e-07,3.06156248688215e-09,1.87814074348842e-09,2249.7896428857,147.189108600115
51,0.153550192674993,21.30003530688,22.5007742673937,99.7082579388242,9.76996261670138e-12,1.34925574821419e-13,8.32763644492463e-14,2190.66678977195,153.550192674993
52,0.159505334262947,19.0000314944,20.2921453800001,99.7082579388242,0,0,2.67336152459601e-21,1975.63552475653,159.505334262947
53,0.164896318454046,17.10002834496,18.4596729061663,99.7082579388242,0,0,-8.42491136037485e-27,1797.22670451357,164.896318454046
54,0.169853382368978,15.80002619008,17.1994310960801,99.7082579388242,0,0,-1.51344971026859e-31,1674.53004316185,169.853382368978
55,0.174573204750134,15.80002619008,16.8713811396511,99.7082579388242,0,0,-7.35043127443939e-35,1642.59122468409,174.573204750134
56,0.179256435357392,17.70002933952,17.1247775141261,99.7031758107618,3035.89694386617,42.4437663924806,16.1122779525349,1667.26179893253,179.256435357392
57,0.184290623739962,19.80003282048,19.3494105828874,99.6759172116625,6116.9901714372,86.6549630617092,30.8607854777162,1883.85122493402,184.290623739962
58,0.190025108097482,21.60003580416,21.8187917479082,99.6423077196012,5409.05371645625,76.3926758311651,24.6865961410388,2124.2692321196,190.025108097482
59,0.196338916697886,23.20003845632,23.5292421382191,99.6152497796172,4363.67874956286,61.3471668097606,18.3156642904009,2290.79802891023,196.338916697886
60,0.20304352412516,24.20004011392,24.6098979458061,99.5953606833516,2765.75161514798,38.6209572961647,11.1970830952969,2396.01026564137,203.04352412516
61,0.209950350084131,24.60004077696,24.9912138283961,99.5850626479258,1057.26224146464,14.6597119969283,4.28589469039167,2433.13503434824,209.950350084131
62,0.216895254028507,24.90004127424,25.0111446003025,99.579634249036,1104.81007130354,15.3210635146672,4.2269910386449,2435.07548668961,216.895254028507
63,0.223852323377923,25.00004144,25.0694631620094,99.5736269024049,1002.86794241934,13.9017278277635,3.93402131114725,2440.75335958591,223.852323377923
