Time,Speed
sec,mph
579,52.1
580,52
581,52
582,52
583,52
584,52.1
585,52
586,52
587,51.9
588,51.6
589,51.4
590,51.1
591,50.7
592,50.3
593,49.8
594,49.3
595,48.7
596,48.2
597,48.1
598,48
599,48
600,48.1
601,48.4
602,48.9
603,49
604,49.1
605,49.1
606,49
607,49
608,48.9
609,48.6
610,48.3
611,48
612,47.9
613,47.8
614,47.7
615,47.9
616,48.3
617,49
618,49.1
619,49
620,48.9
621,48
622,47.1
623,46.2
624,46.1
625,46.1
626,46.2
627,46.9
628,47.8
629,49
630,49.7
631,50.6
632,51.5
633,52.2
634,52.7
635,53
636,53.6
637,54
638,54.1
639,54.4
640,54.7
641,55.1
642,55.4
643,55.4
644,55
645,54.5
646,53.6
647,52.5
648,50.2
649,48.2
650,46.5
651,46.2
652,46
653,46
654,46.3
655,46.8
656,47.5
657,48.2
658,48.8
659,49.5
660,50.2
661,50.7
662,51.1
663,51.7
664,52.2
665,52.5
666,52.1
667,51.6
668,51.1
669,51
670,51
671,51.1
672,51.4
673,51.7
674,52
675,52.2
676,52.5
677,52.8
678,52.7
679,52.6
680,52.3
681,52.3
682,52.4
683,52.5
684,52.7
685,52.7
686,52.4
687,52.1
688,51.7
689,51.1
690,50.5
691,50.1
692,49.8
693,49.7
694,49.6
695,49.5
696,49.5
697,49.7
698,50
699,50.2
700,50.6
701,51.1
702,51.6
703,51.9
704,52
705,52.1
706,52.4
707,52.9
708,53.3
709,53.7
710,54.2
711,54.5
712,54.8
713,55
714,55.5
715,55.9
716,56.1
717,56.3
718,56.4
719,56.5
720,56.7
721,56.9
722,57
723,57.3
724,57.7
725,58.2
726,58.8
727,59.1
728,59.2
729,59.1
730,58.8
731,58.5
732,58.1
733,57.7
734,57.3
735,57.1
736,56.8
737,56.5
738,56.2
739,55.5
740,54.6
741,54.1
742,53.7
743,53.2
744,52.9
745,52.5
746,52
747,51.3
748,50.5
749,49.5
750,48.5
751,47.6
752,46.8
753,45.6
754,44.2
755,42.5
756,39.2
757,35.9
758,32.6
759,29.3
760,26.8
761,24.5
762,21.5
763,19.5
764,17.4
765,15.1
766,12.4
767,9.7
768,7
769,5
770,3.3
771,2
772,0.7
773,0
774,0
775,0
