Time,Distance,TargetVelocity,ActualVelocity,StateOfCharge,BatteryPower,BatteryCurrent,MotorTorque,MotorSpeed,MilesPerGallon
0,0,0,0,100,0,0,0,0,0
1,1.50736666538381e-07,0,-0.000289541495950509,99.9999999999404,-7.70108724717865e-06,-1.06427408056428e-07,0.0024807156370025,-0.0281896494716998,0.000150736666538381
2,2.63735780870987e-07,0,8.96520469394597e-05,99.9999999999305,3.36073967870316e-08,4.64447163999837e-10,7.22882096195484e-05,0.00872848905248361,0.000263735780870987
3,3.44326738464764e-07,0,0.000289061276523594,99.9999999999305,4.93755015765992e-12,6.82359059930777e-14,3.35083184142595e-09,0.0281428954916881,0.000344326738464764
4,4.01241762568205e-07,0,0.000394270164746965,99.9999999999305,3.08537977935749e-16,4.26393004333469e-18,1.53139802621107e-13,0.0383859926705153,0.000401241762568205
5,4.58048381084314e-07,0,6.48387378349179e-05,99.9999999999305,2.42421102459138e-21,3.35020871281231e-23,7.22131141762997e-18,0.00631267475410915,0.000458048381084314
6,5.08518722451878e-07,0,0.000170798496681004,99.9999999999305,2.9465372415838e-25,4.07205257266903e-27,3.37734352009831e-22,0.0166288764100112,0.000508518722451878
7,5.52312196116145e-07,0,0.000148336378673128,99.9999999999305,1.16179831988035e-29,1.6055808732451e-31,1.53331391918345e-26,0.0144419731789033,0.000552312196116145
8,5.91908215516626e-07,0,0.000141307215410355,99.9999999999305,5.0246126912348e-34,6.94390919186564e-36,6.96123442394358e-31,0.0137576165280322,0.000591908215516626
9,6.27139071184556e-07,0,0.000142712040873951,99.9999999999305,2.3038492098432e-38,3.18387121316033e-40,3.16039553907242e-35,0.013894389798674,0.000627139071184556
10,6.59677019924056e-07,0,9.48573106777331e-05,99.9999999999305,6.95215461654463e-43,9.60773164254212e-45,1.43481735495581e-39,0.00923527154218504,0.000659677019924056
11,6.88981150218273e-07,0,0.000100855885789476,99.9999999999305,3.35586934199616e-47,4.63774093697569e-49,6.51406071369206e-44,0.00981929052424696,0.000688981150218273
12,7.15337103187061e-07,0,8.63866025483023e-05,99.9999999999305,1.30498455222531e-51,1.80346123856426e-53,2.95737898870904e-48,0.00841056663361281,0.000715337103187061
13,7.39229441345917e-07,0,8.18191212165814e-05,99.9999999999305,5.61137080306465e-56,7.7547965769261e-58,1.34264798368401e-52,0.00796587839544831,0.000739229441345917
14,7.60773127081903e-07,0,7.77578418163814e-05,99.9999999999305,2.42110450953211e-60,3.34591557425609e-62,6.09561241549282e-57,0.00757047378402141,0.000760773127081903
15,7.80259112489071e-07,0,6.71021999344034e-05,99.9999999999305,9.48552292738582e-65,1.31087934319849e-66,2.76740375523214e-61,0.00653304455971339,0.000780259112489071
16,7.97841667209616e-07,0,6.03744456767184e-05,99.9999999999305,3.87465337478174e-69,5.35468957266598e-71,1.25639936111901e-65,0.00587803297447141,0.000797841667209616
17,8.1372158166907e-07,0,5.23112834092027e-05,99.9999999999305,1.5241589355956e-73,2.10635563238716e-75,5.70404427483779e-70,0.00509300657537609,0.00081372158166907
18,8.2806781366171e-07,0,4.80935405953165e-05,99.9999999999305,6.36175314068542e-78,8.79180920492589e-80,2.58963209439745e-74,0.00468236874574507,0.00082806781366171
19,8.40978361455346e-07,0,4.45961518725184e-05,99.9999999999305,2.67819767745929e-82,3.70121293181156e-84,1.17569115196326e-78,0.00434186431532379,0.000840978361455346
